PERSONNM,VENDOR_NAME
KARLA OAKELY,NEW TEACHER PROJECT INC
LINDA J SALMON,CHILDREN AT PLAY EARLY INTERVENTION
HILLARY FROMMER,PARENT-CHILD HOME PROGRAM INC
LEAH RENE NOWOTARSKI,WYOMING COUNTY - ATTICA LEGAL AID BUREAU
ELSIE MOSESMAN,GINGERBREAD LEARNING CENTER INC
JEROME V NELSON,ALLEGHENY COLLEGE
EDGAR G RIOS,MEHARRY MEDICAL COLLEGE
PAUL WHITE,TRANSPORTATION ALTERNATIVES INC
ORVILLE MERCER,CHESTNUT HEALTH SYSTEMS INC
LIANNE LAZETERA,OPTOMETRIC CENTER OF NEW YORK
CARLOTTA BULZOMI,RECREATION ROOMS & SETTLEMENT
MR JOSE PERALES,DEPAUL UNIVERSITY
SYLVIA A DIAZ,SUFFOLK CC FOUNDATION 816
LADONNA OSBORN,ORAL ROBERTS UNIVERSITY
MARK R T ADKINS,CHILDRENS MUSEUM OF MANHATTAN
DANA DIRICKSON,BROOKLYN BOTANIC GARDEN CORPORATION
JUDY MCKINNEY CHERRY,ERIE CANALWAY HERITAGE FUND INC
BARBARA BLANCHARD,ERIE CANALWAY HERITAGE FUND INC
MARY ANN MCDERMOTT,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH
JEFF EAKINS,COUNCIL OF THE GREAT CITY SCHOOLS
HENRY DUVALL,COUNCIL OF THE GREAT CITY SCHOOLS
GAYLE MORGAN,ROULETTE INTERMEDIUM INC
THADDEUS J FORTIN,ITHACA COLLEGE
MS DANETTE TAYLOR,ALMA COLLEGE
LIZA POWEL O'BRIEN,LARK THEATRE COMPANY INC
JAMES SCHILLER,ARGUS COMMUNITY INC
DAN LOWY,ARGUS COMMUNITY INC
DR LINDA SAMUEL,CONCORDIA UNIVERSITY WISCONSIN
ADAM FALKNER,NEW YORK CITY CHARTER SCHOOL OF THE ARTS
EMILIE GALLAGHER,WINGSPAN ARTS INC
DR HASEEB AHMED,HEIDELBERG UNIVERSITY
SANFORD I WEILL,CARNEGIE HALL CORPORATION
STOUGH PHYLLIS,OKLAHOMA MEDICAL RESEARCH FOUNDATION
GREGORY T AIKINS,NEW JERSEY SEA GRANT CONSORTIUM
SHAUN MALLEN,IRISH CLASSICAL THEATRE COMPANY
GEORGE N NADAVALLIL,MEMPHIS COLLEGE OF ART
NANCY D WASHINGTON,WILSON COLLEGE
DAVID M O'BRIEN,JOHN CARROLL UNIVERSITY
SHANNON ROSENWIE,LEAGUE - HANDI CTR
CHARLES DRAGO,HOSTOS COMMUNITY COLLEGE AUXILIARY
MRS GERALDINE ANNE PORTER,MIDDLEBURG ACADEMY
DAWN CZOLOWSKI,CAYUGA COMMUNITY COLLEGE AUXILIARY
SUSAN TENNER,BROOKLYN URBAN GARDEN CHARTER SCHOOL
JEFFREY ROSENTHAL,CAYUGA COMMUNITY COLLEGE FACULTY STUDENT
R HILLIARD EBLING,MONTSERRAT COLLEGE OF ART
PATRICK MULLIN,LEARNINGSPRING ELEMENTARY SCHOOL
LORI QUIGLEY,YWCA OF WESTERN NEW YORK INC
REV JOHN T BUTLER SJ,CANISIUS COLLEGE OF BUFFALO
PHILIP THAKADIYIL,SOCIETY OF WOMEN ENGINEERS
JONATHAN BRASSINGTON,MISERICORDIA UNIVERSITY
DR CAROL RITTNER RSM,MISERICORDIA UNIVERSITY
CHRISTOPHER C NEWMAN,MCDANIEL COLLEGE
ARTHUR S WISNER,MCDANIEL COLLEGE
JAMES HAEFNER,HILLSIDE SHARED SERVICES
DEBORAH DAUM,SNELL FARM CHILDREN CENTER
LE'ANN DURAN,THE CENTER FOR EMPLOYMENT OPPORTUNITIES
BRUCE GOLDSTEIN,FILM FORUM INC
MORRIS BAILEY,SEPHARDIC COMMUNITY YOUTH CENTER INC
JAMES E ROGERS,JEAN TOLAND
MICHAEL SWEENEY,NATURE CONSERVANCY THE
VIMLA GUPTA,HABITAT FOR HUMANITY NEW YORK CITY INC
ABBOT JAMES ALBERS OSB,BENEDICTINE COLLEGE
DR MICHAEL STRONG,UNIVERSITY OF WESTERN ONTARIO
JOHN GREDEN,AMERICAN FOUNDATION FOR SUICIDE
LYNN GROTTENTHALER,UNITED WAY OF THE SOUTHERN TIER
NANCY SOCHA,UNITED WAY OF THE SOUTHERN TIER
MARY JO HUNT,PAUL SMITHS COLLEGE OF ARTS & SCIENCE
MICHAEL FIFIELD,WORKFORCE DEVELOPMENT BOARD OF HERKIMER
HOWARD SILVERSTEIN,NEW YORK SKI EDUCATIONAL FOUNDATION
STUART C KAPLAN,SELFHELP COMMUNITY SERVICES
CHRISTOPHER ASHLEY,STAGE DIRECTORS AND CHOREOGRAPHERS
MUHAMMAD YUNUS,SING FOR HOPE INC
DELSWORTH G HARNISH,MCMASTER UNIVERSITY
VINCENT COSTANZA,NATIONAL ASSOCIATION FOR THE EDUCATION
GARY SCHIRO,HUDSON OPERA HOUSE
AIDAN FISHMAN,GOVERNING COUNCIL OF THE UNIVERSITY OF
FAYE MISHNA,GOVERNING COUNCIL OF THE UNIVERSITY OF
DEACON ARCHIE MARTIN,OAK-MICHIGAN HOUSING DEVELOPMENT FUND
JAY GOLDSTEIN,DASNY CITY UNIVERSITY CONSTRUCTION FUND
MARK FOGGIN,SOUTHWEST BROOKLYN INDUSTRIAL
GINA F ADAMS,AMERICAN UNIVERSITY
ILONA NEMETH,ATLANTIC THEATER COMPANY
CANDY HENNING,MID-AMERICA ARTS ALLIANCE
MARK MULLER,CATHOLIC CHARITIES COMMUNITY SERVICES OF
GREGG MARSTON,LAKE CHAMPLAIN MARITIME MUSEUM
KIMBERLY SMOLINSKI,DEPEW-LANCASTER BOYS & GIRLS CLUB INC
JOEL L SASSA,UNIVERSITY OF MOUNT UNION
MARK A MURRAY,THE CATHOLIC UNIVERSITY OF AMERICA INC
JUDY FELLENZ,EASTER SEALS NEW JERSEY
STEFAN FEDOR,MARYMOUNT UNIVERSITY
DR ISAAC ELEGBE,MARC ACADEMY & FAMILY CENTER INC
KRISTEN LANG,JEWISH FAMILY SERVICE OF ROCHESTER INC
JEFFERY A DAVIS,MONROE CC FOUNDATION 808
CYNTHIA M LANGSTON,MONROE CC FOUNDATION 808
J SCOTT SPRADLEY,THE NATIONAL WWII MUSEUM INC
VICTORIA WILSON,POETS & WRITERS INC
BRENT J CUTLER,SUNY NEW PALTZ FOUNDATION
MICHAEL T KEEGAN,SUNY NEW PALTZ FOUNDATION 831
LYNNE S RANDALL,YOUNG AUDIENCES NEW YORK INC
MATTHEW A BAVOSO,SERVICES FOR THE DEVELOPMENTALLY
THOMAS N SHORTER,AMERICAN HEALTH LAWYERS ASSOCIATION
JOHN R HOLDENRIED,AMERICAN HEALTH LAWYERS ASSOCIATION
MARY LOU FERBERT,CLEVELAND MUSEUM OF NATURAL HISTORY
THOMAS O'BRIEN,WILLIAMSBURG COLLEGIATE CHARTER SCHOOL
ROBERT STURDEVANT JR,GREATER LENOX AMBULANCE SERVICES INC
JOHN BARTLETT,NORTH COUNTRY AFFORDABLE HOUSING INC
JOSEPH CAMPOLO,TOURETTE SYNDROME ASSO INC
MAURICE BOWEN,RECREATIONAL BOATING & FISHING
REGINA SHEARN,ALPHA PHI SIGMA INC
CHRISTOPHER PUGH,CHARLES SETTLEMENT HOUSE INC
DAVID SIMONDS,GREATER BALDWINSVILLE AMBULANCE CORPS
LAURA WILLIAMS,CITIZENS ALLIANCE INC
KELLY VANDEMARK,KENAN CENTER INC
CARMEN PARKER,PORT CHESTER TOWN OF RYE COUNCIL OF
THOMAS HYNES,DELAWARE OPPORTUNITIES INC
MARGOT ASTRACHAN,THE EPISCOPAL ACTORS GUILD OF AMERICA
JACOB W BUCHDAHL,LAWYERS FOR CHILDREN
NORMAN ROTH,ALUMNI ASSOCIATION SUNY COLLEGE OF
JEANNE BAILEY,LITERACY VOLUNTEERS OF WAYNE COUNTY INC
CLAIRE MOLNER,NATIONAL ASSOCIATION OF SCHOOL NURSES
CHRISSIE MCGOVERN,COLLABORATIVE SUMMER LIBRARY PROGRAM
DAVID HEATH,FACULTY STUDENT ASSOCIATION
CALLIE SIEGEL,WASSAIC PROJECT
MELISSA A FOTI,UB LAW ALUMNI ASSOCIATION INCORPORATED
PATTY BLOOMER,EDWARD L ROSE CONSERVANCY
NIKET SONPAL MD,NEW YORK CHAPTER AMERICAN COLLEGE
MICHAEL FLAHERTY,AUXILIARY SERVICES SUNY OSWEGO INC
TOBY PEARCE,FRIENDS OF HUDSON RIVER PARK
JOSEPH J BRENNAN,FARMINGDALE CAMPAIGN 845
JILLIAN KRANTZ,STUDENT ASSOCIATION
JEANNE GULDE,OLD MUSEUM VILLAGE OF SMITHS COVE
MARY DEMAKOS,ASTORIA QUEENS SHAREING AND CAREING
SUSAN KRZYSTOFIAK,FACULTY STUDENT ASSOCIATION SUNY AT
KATY MORRIS,COUNCIL OF STATE ADMINISTRATORS OF
KATHRYN CUSUMANO,ADIRONDACK COUNCIL INC
MICHAEL ROGERS,BOARD OF CONTROL FOR SOUTHERN REG ED
CAROL OCHS,HUMAN ARTS ASSOCIATION LTD
KRISTI NELSON,NATIONAL ASSOCIATION OF SCHOOLS OF
DOUGLAS L LOWDEN,ROTARY CAMP ONSEYAWA
MARK BARBARINO,ALLIANCE FOR MANUFACTURING & TECHNOLOGY
JAMES CHIMENTI,NEW VISION SERVICES INC
SALEA PERRY,MASSACHUSETTS LEGAL ASSISTANCE CORP
JOSEPH TELFAIR DRPH MPH MSW,AMERICAN PUBLIC HEALTH ASSOCIATION
TOM REEVE,THE TRUST FOR PUBLIC LAND
SAMANTHA KING,UNIVERSITY OF RHODE ISLAND
KATIE GEISE,CHAUTAUQUA STRIDERS INCORPORATED
REGINA MONTOYA,GIRLS INC
ROBERT ESCH,CHALLENGER LEARNING CENTER OF THE TWIN
BOB WICKER,CHALLENGER LEARNING CENTER OF THE TWIN
JAMES CAPPARELLI,UNITED WAY OF CENTRAL NEW YORK INC
PATRICIA LEONE,UNITED WAY OF CENTRAL NEW YORK INC
KEVIN HAIR,UNITED WAY OF CENTRAL NEW YORK INC
SARAH PEAVEY,STUDENT GOVERNMENT ASSOCIATION OF SUNY
HARRY COGHLAN,TIMES SQUARE MANAGEMENT ASSOCIATION INC
ROSA SANPEDRO,BRONX PROVIDER CONSUMER ALLIANCE
SUSAN DRISCOLL,NORTHWOOD SCHOOL
CHRISTINA M GULLO,VILLA OF HOPE
KEITH ENDERSEN,LESBIAN & GAY COMMUNITY SERVICE CENTER
GINA DECRESCENZO,FAMILY FOCUS ADOPTION SERVICES
SCOTT PEARSON,NATIOINAL ASSOC OF CHARTER SCHOOL AUTHO
JOE LIVINGSTON,CENTRAL NEW YORK LAND TRUST INC
FERNANDO LEON GARCIA,COUNCIL FOR ADVANCEMENT AND SUPPORT OF
PIERO GANDINI,DIABETES RESEARCH INSTITUTE FOUNDATION
CAPTAIN RICHARD SMITH,FACULTY STUDENT ASSOC
LAURA MASCUCH,HUMAN SERVICES COUNCIL OF NYC
KEVIN CONNOLLY,BOTTOM LINE INC
MICHEL PAUL,BOTTOM LINE INC
LAWRENCE LEWIS,CATSKILL SYMPHONY ORCHESTRA
BARBARA BALLARD,NATIONAL COUNCIL FOR STATE AUTHORIZATION
GLENN AHRENS,PINKERTON ACADEMY
NINA PICCOLI,THE HISTORY CENTER IN TOMPKINS COUNTY
PAUL STREBEL,UNITED WAY OF TOMPKINS COUNTY 876
JANIEL REY,WIA - COUNTY OF CHAUTAUQUA
RYAN SUSER,MCMAHON RYAN CHILD ADVOCACY SITE
HAROLD NEWELL,RESCUE INC
NANCY MCDONALD-STOLER,THE CENTER FOR YOUTH SERVICES INC
ALEJANDRA CESPEDES CPA,LITERACY VOLUNTEERS OF ROCHESTER INC
JON MORRIS,LITERACY WEST NY INC
DAVID N DUNCAN,AMERICAN BATTLEFIELD TRUST
DAVID ARONOFF,LYNDON INSTITUTE INCORPORATED
JENNIFER HANLEY,MIDORI & FRIENDS
KASEY ALLEE-FOREMAN,UNITED STATES INSTITUTE FOR THEATRE
JAMES BRANDYS,BURCHFIELD-PENNEY ART CENTER
JASON HAMMER,JUNIOR ACHIEVEMENT OF ROCHESTER NEW YORK
CYNTHIA B ADAMS ESQ,VOLUNTEERS OF LEGAL SERVICE
KEITH C OLSON,COUNCIL ON FOREIGN RELATIONS INCORPORATE
JOSEPH EVANS,WATERSHED AGRICULTURAL COUNCIL OF
JEFFREY K TOWLE,NEW ENGLAND COLLEGE
STEPHANIE SCHERA,ROCKLAND CONSERVATORY OF MUSIC
EMILY COLON,BOROUGH OF MANHATTAN COMMUNITY COLLEGE
EMILY ANDERSON,BMCC EARLY CHILDHOOD CENTER INC
EMILY MCCUE,HAND IN HAND EARLY CHILDHOOD CENTER INC
MURIS HADZIC,SYRACUSE ACADEMY OF SCIENCE CHARTER
JOEL SIMON,CAEL
SISTER MARGARET ORMOND,ALBERTUS COLLEGE
PAMELA LINTON,LABORATORY INSTITUTE OF MER- CHANDISING
MICHAEL TANNEN,NEW YORK CITY AUDUBON SOCIETY INC
ERIC M ZUCKERMAN,ALFRED UNIVERSITY
KAREN WARREN,NERCOMP INC
JOHN CROSSON,WATKINSON SCHOOL
KATHLEEN KANE-FRANCALANGIA,WATKINSON SCHOOL
ROBERT J SANATOR PHD,FRIENDS OF LIMSAT INC LONG ISL MUSEUM OF
SUSAN NESBITT-PEREZ,COMMISSION ON INDEPENDENT COLLEGES AND
DAVID WOODFORD,CHESTNUT HILL COLLEGE
CONNIE JOZWIAK SHIELDS PHD ANP-BC,JERICHO ROAD MINISTRIES INC
GEORGE MEHM JR,PASCACK MENTAL HEALTH CENTER
SUE MILLER,OTSEGO RURAL HOUSING ASSISTANCE INC
MONIKA BAUERLEIN,FOUNDATION FOR NATIONAL PROGRESS
COLLEEN HANNA,NEW ENGLAND LAW LIBRARY CONSORTIUM
MIGUEL CAIROL,AUXILIARY ENTERPRISE BOARD OF NEW YORK
BRADFORD L HEWITT,HABITAT FOR HUMANITY INTERNATIONAL
JAMES CROUCH,PENRHYN ENGINE AND HOSE COMPANY INC
MICHAEL LANZA,GRACE FOUNDATION OF NY
JOHN W GRAHAM,ARIZONA STATE UNIVERSITY FOUNDATION FOR
JULIE BOLAND,URBAN CHOICE CHARTER SCHOOL
BRENDA HARBURGER,EDUCATIONAL FOUNDATION OF OCCC ORANGE
NICHOLAS P CUTRONE,PARENTAL LOVING CARE INC
AIMEE WALSH,DIRECTION SERVICE
KRISTEN ESTERBERG,POTSDAM COLLEGE FOUNDATION INC
MELANIE AXLE-LUTE,HUDSON MOHAWK TRADITIONAL DANCE I
TERRY KINAL,HUDSON MOHAWK TRADITIONAL DANCE I
JAMES GILLAN,HABITAT FOR HUMANITY BUFFALO INC
PATTERSON CHIWESHE,STEPHEN GAYNOR SCHOOL
BILL MCCLURE,THE SARASOTA FAMILY YMCA INC
JILL ROONEY,HARBOR DAY CARE CENTER INC HARBOR CHILD
MARIANNE BRIGGS,COMMISSION ON ECONOMIC OPPORTUNITY
MARK DAVIS,ADAPTIVE SPORTS FOUNDATION INC
FREDERICK GIESE,HILBERT COLLEGE
LISE STRICKLER,ADIRONDACK TRAIL IMPROVEMENT SOCIETY
TERRY BUCHANAN,ADIRONDACK TRAIL IMPROVEMENT SOCIETY
RAJENE HARDEMAN,HOWLAND PUBLIC LIBRARY
TIM PIAZZA,JAMESTOWN COMMUNTIY COLLEGE FOUNDATION
BRUCE BIRD,THE ARC OF NEW JERSEY INCORPORATED
BRAD K HOPTON,THE ARC OF NEW JERSEY INCORPORATED
DEBRA PIERSON BEG 1016,ALZHEIMERS DISEASE AND RELATED DISORDERS
BRAD HUNT,UNIVERSITY NEIGHBORHOOD PRESERVATION
DANIEL S CONNOLLY,SAINT DAVIDS SCHOOL
ELIZABETH CAPUTO,COLUMBUS AVENUE DISTRICT MGMT ASSOC
CATHERINE RENAULT PHD,MAINE AQUACULTURE INNOVATION CENTER
ANN JOSLIN,LYRASIS
KATE VON DER HEYDEN,LITTLE FLOWER CHILDREN & FAMILY SERV OF
JEFFREY ZUKERMAN,EXODUS SCHOOL
DANIEL MARSHALL,ONTARIO COUNTY FOUR SEASONS LOCAL
YOAV KADDAR,AMERICAN COLLEGE DANCE ASSOCIATION
JAVONTE ANYABWELE,LIGHTHOUSE ACADEMIES
TERRY AGRISS,COMMUNITY SERVICE SOCIETY OF NEW YORK
MICHAEL HORODNICEANU PHD,COMMUNITY SERVICE SOCIETY OF NEW YORK
TERRI DRAIN,AMERICAN ALLIANCE FOR HEALTH PHYSICAL
JUDY SCHNEIDER,ENRICHMENT THROUGH THE ARTS INC
PATRICIA FAHY,NEW YORK STATE ARCHIVES PARTNERSHIP
HON JIMMY VAN BRAMER,SUNNYSIDE DISTRICT MANAGEMENT
ANNE B KERR,FLORIDA SOUTHERN COLLEGE
JED MARCUS,MYRTLE AVENUE REVITALIZATION PROJECT LDC
ALLEN MARTIN,GOUVERNEUR AGRICULTURAL AND MECHANICAL
KEVIN DIXON,NATIONAL ARCHERY IN THE SCHOOLS PROGRAM
PETER F DORO,DUTCHESS OUTREACH INC
SALLIE DEAN,LIPSCOMB UNIVERSITY
GREG J GLENN,LIPSCOMB UNIVERSITY
STEVE GREEN,STREETSQUASH INC
CINDY KOUHOUT,CHILDRENS HOME OF KINGSTON
KELLY DOHERTY HALVORSEN,THE JAN & NILES DAVIES LEARNING CENTER
JAMES G FORTNER,GEORGIA TECH RESEARCH CORPORATION
PETER HALE,COMMITTEE ON POETRY INC
DENISE ABBOTT,WESTERN NY COUNCIL ON OCCUPATIONAL
ROBERT WOLFGANG,LASALLE SCHOOL INC
DR ZULMA R TORO,NORTHEAST CONFERENCE
LAUREN NEHREBECKI,MERRICK COMMUNITY NURSERY SCHOOL
DR THOMAS W MEYER,AMERICAN CONFERENCE OF ACADEMICS DEANS
RICHARD HAUCK,STERLING HILL MINING MUSEUM
NATHAN KAPLAN,PENN SOUTH SOCIAL SERVICES INC
CONSTANCE COSTA,ST FRANCIS SCHOOL OF STATEN ISLAND
CHRISTINE VAN ITALLIE,NEW YORK YOUTH SYMPHONY INC
MARICA F VILCEK,NEW YORK YOUTH SYMPHONY INC
RUBIN SCHRON,YESHIVA DERECH CHAIM
LEONARD MERMELSTEIN,YESHIVA DERECH CHAIM
TAYLOR JOHN,COWLESVILLE FIRE COMPANY
B ROSENBERG,OTSAR FAMILY SERVICES INC
ANNA-LYNN BRINK,MARY CARIOLA CHILDRENS CENTER INC
JACK ODENBACH,MARY CARIOLA CHILDRENS CENTER INC
DR COCO LAZAROFF,AMERICAN OPERA PROJECTS INC
MARK KALOW,AMERICAN OPERA PROJECTS INC
BRADLEY MARPLES,TRAIN COLLECTORS ASSOCIATION
JOE A NELSON DO ACOEP,COMMITTEE ON ACCREDITATION FOR THE EMS
JEFF JOURNEY,CINCINNATI FOUNDATION FOR BIOMEDICAL
KEVIN LOVELY,FORT ANN VOLUNTEER FIRE COMPANY
ANNETTE GONZALEZ,GREEN DOT NEW YORK CHARTERS
LAURA PAWEL,AUGUST AICHHORN CENTER FOR ADOLESCENT
MICHAEL SEIMAN,HEBREW EDUCATIONAL SOCIETY OF BROOKLYN
MEGAN O'ROURKE,ILLINOIS ASSOCIATION FOR COLLEGE
KATHY MAJOR,ILLINOIS ASSOCIATION FOR COLLEGE
NOAH HUTTON,JACOB BURNS FILM CENTER
MARGARETT JOLLY,GREEN CITY FORCE INC
SIMONE SNEED,MS FOUNDATION FOR WOMEN INC
LORI CALUB,SOLID WASTE ASSOCIATION OF NORTH AMERICA
KAREN STORRY,SOLID WASTE ASSOCIATION OF NORTH AMERICA
MARY DEAN BARRINGER,COUNCIL OF CHIEF STATE SCHOOL OFFICERS
JERRY MORAN,FINGER LAKES WORKFORCE INVESTMENT BOARD
BRIAN CURRY,ON THE BOARDS
ROD WORL,KOAHNIC BROADCAST CORPORATION
TRENT HERRON,ADVOCACY RESOURCE CENTER MARION INC
LINDA MILES,CHOWAN UNIVERSITY
PATRICK F MOORE,BARDAVON 1869 OPERA HOUSE INC
MELANIE WEINRAUB,MAKING BOOKS SING INC
JEFFREY DUNN,AMERICAN PHILOSOPHICAL ASSOCIATION
ERWIN CHEMERINSKY,ASSOCIATION OF AMERICAN LAW SCHOOLS
MR O RAY MANNING JR,THE METHODIST UNIVERSITY INC
MRS SHEILA KINSEY,THE METHODIST UNIVERSITY INC
MR PETER M BROOME,THE METHODIST UNIVERSITY INC
MAURA GANNON,ARTS CENTER OF THE CAPITAL REGION
KEARA LOWENHAR,AUXILIARY SERVICES CORPORATION OF SUNY
JOHN E LOVENHEIM,ROCHESTER PUBLIC LIBRARY
DAN MCCOLE,AMERICAN LEGION JERSEY BOYS STATE
MARION ROACH SMITH,ST LAWRENCE UNIVERSITY
MARJORIE B MCELROY,NATIONAL BUREAU OF ECONOMIC RESEARCH INC
LORRAINE CECERE,VOICE CHARTER SCHOOL OF NEW YORK
SAKINAH RAHMAN,PENNSYLVANIA COALITION AGAINST RAPE
MAUREEN BOOTH,HUMAN SERVICES RESEARCH INSTITUTE
JULIA GEORGE,NATIONAL COUNCIL OF STATE BOARD OF
BARBARA GAETANO,WESTERN NEW YORK INDEPENDENT LIVING INC
DENNIS M KESSEL,WESTERN NEW YORK INDEPENDENT LIVING INC
PAUL STAGE,CHAUTAUQUA WATERSHED CONSERVANCY INC
CRAIG A SEGER,CHAUTAUQUA WATERSHED CONSERVANCY INC
LAURA HERRIN,THE STUDENT CONSERVATION ASSOCIATION INC
ANTHONY GRUNDHAUSER,HAMLINE UNIVERSITY
KURT MULLER,THE VERGILIAN SOCIETY INCORPORATED
MR BRIAN J SHIRELY,LINDSEY WILSON COLLEGE
MR CHRISTOPHER ESTES,LINDSEY WILSON COLLEGE
MS BETTIE C STARR,LINDSEY WILSON COLLEGE
SUSAN KILMARTIN,FULMONT COMMUNITY ACTION AGENCY INC
ANGEL CORTES,MATH ENGINEERING AND SCIENCE ACADEMY
MICHAEL REILLY,AMERICAN ASSOCIATION OF COLLEGIATE
WILLIAM SPANJER,AFFIRMATIVE EVANGELISM FELLOWSHIP CHAPEL
SONIA SEGODA DRESSNER TO 1112016,THEATRE WORKS USA CORP
JACEK OLSZEWSKI,RESEARCH FOUNDATION OF CUNY
E EDWARD ZINKE,ANDREWS UNIVERSITY
GARY ALLER,GALLAUDET UNIVERSITY
DR ELSA NUNEZ,COUNCIL OF PUBLIC LIBERAL ARTS COLLEGES
GARY LYNCH,BROOKLYN ACADEMY OF MUSIC
RONALD ROLON M ED,THE COUNCIL OF SOUTHEAST PENNSYLVANIA
RICHARD GEORGE,NORTH COUNTRY HEALTHY HEART NETWORK INC
TODD MILLER,NATIONAL STRENGTH & CONDITIONING
CAITLIN FRANCO,EQUALITY CHARTER SCHOOL
NANCY ROWDEN BROCK,VERMONT PUBLIC RADIO
REV JAMES J KANE,MATERNITY & EARLY CHILDHOOD FOUNDATION
JUDY SUDDABY,GIRL SCOUTS OF NY PENN PATHWAYS INC
SARA AYALA,GIRL SCOUTS OF NY PENN PATHWAYS INC
SARA AYALA,GIRL SCOUTS OF NY PENN PATHWAYS INC
KATHY BURKE BARRY,GIRL SCOUTS OF NY PENN PATHWAYS INC
PRIYA GHAEL,NORTH SHORE MONTESSORI SCHOOL
MARINA KELLEN FRENCH,METROPOLITAN MUSEUM OF ART
MR ROD E WILT,THIEL COLLEGE
BAS SHEVY MILLER,PESACH TIKVAH HOPE DEVELOPMENT INC
MAUREEN PETROSKY - LS LEARNING,ST LUKES SCHOOL
NATHANIEL QUICK,LASER INSTITUTE OF AMERICA
KAREN RETTICK,CHESTNUT HEALTH SYSTEMS INC
TALEAH E JENNINGS,SANCTUARY FOR FAMILIES
RICHARD FEINBLOOM,OPTOMETRIC CENTER OF NEW YORK
DAVID NB LEWIN,AMERICAN SOCIETY FOR CLINICAL PATHOLOGY
BERGRE ESCORBORES,SUFFOLK CC FOUNDATION 816
CAMELLA BINKLEY,ORAL ROBERTS UNIVERSITY
DALE BRONNER,ORAL ROBERTS UNIVERSITY
SUSAN K FREEDMAN,PUBLIC ART FUND INC
DARRELL HIGGINBOTHAM,BRESCIA UNIVERSITY INC
DAVE HOUSE,TECH MUSEUM OF INNOVATION
JENNY KNIGHT,MIAMI COUNTRY DAY SCHOOL INCORPORATED
JOSE AL ARRUDA MD,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH
KEVIN WOODS,COUNCIL OF THE GREAT CITY SCHOOLS
LUIS PAZ-GALINDO,SPANISH THEATRE REPERTORY CO
LAUREN BREITMAN TANEN,SAFE HORIZON INC
ERVIN FRANCIS,SMALL WONDER PRESCHOOL INC
JULIE ENGLUND,CEDAR CREST COLLEGE
NIKOLAOS GARBIDAKIS,AMERICAN BIBLE SOCIETY
LILLIAN OQUENDO,BROOKLYN COLLEGE CHILD CARE SERVICES INC
LINDA PETROSINO INTERIM VP,ITHACA COLLEGE
MARIE C BLOUIN,ITHACA COLLEGE
PATRICIA HOWELL,STEP AFRIKA USA INC
DENISE ALEXANDER,BRONX CHARTER SCHOOL FOR CHILDREN
STUART GOLD,LARK THEATRE COMPANY INC
AHMED BENDARY,BUCKLEY COUNTRY DAY SCHOOL
CYNTHIA AMES,NEW YORK STATE CONGRESS OF PARENTS &
SAMUEL P PEABODY,ARGUS COMMUNITY INC
IRENE MANTEL,HAWTHORNE VALLEY ASSOCIATION
SCOTT STRASSER,COMMUNITY ROOTS CHARTER SCHOOL
DAVID A GOULD,CENTER FOR URBAN COMMUNITY SERVICES INC
SONDRA LIBMAN,HEIDELBERG UNIVERSITY
LINDA J WACHNER,CARNEGIE HALL CORPORATION
ROBIN SHANUS SEC UNTIL 22017,BROOKLYN PUBLIC LIBRARY
JEFF MCHENRY,ALPHAPOINTE
MARGARET MCQUADE,TREVOR DAY SCHOOL
REBECCA WULF,THE COALITION FOR BEHAVIORAL HEALTH INC
CHRIS KNOTTS,NATIONAL COUNCIL OF EXAMINERS FOR
DAVID LUSK,MEMPHIS COLLEGE OF ART
BARBARA L TENNEY,WILSON COLLEGE
INDU BIDICHANDANI,HAWTHORNE FOUNDATION INC
KATE WELC,SUSAN B ANTHONY HOUSE
CHRIS STEENSTRA,ON POINT FOR COLLEGE INC
LUCKY DEFRIES,OTTAWA UNIVERSITY
GERRY POLIZZI,THE JOE TORRE SAFE AT HOME FOUNDATION
RICHARD SCHAEFER,COLLEGE AUXILIARY SERVICES OF SUNY
CHITRACHEDU NAGANNA,MCDANIEL COLLEGE
CAROLYN FRIEDLANDER,HILLSIDE CHILDRENS CENTER
KEVIN DEGROAT,THE COLLEGE OF MOUNT SAINT VINCENT
VINCENT T PICA,US COAST GUARD AUXILIARY ASSOCIATION
FAMKE JANSSEN,FILM FORUM INC
CATHERINE MANNO MD,ASSOCIATION OF MEDICAL SCH PEDIATRIC
LENE WESTERMAN,BENEDICTINE COLLEGE
DR JANICE DEAKIN,UNIVERSITY OF WESTERN ONTARIO
DOREEN MARSHALL,AMERICAN FOUNDATION FOR SUICIDE
KELLY POSNER,AMERICAN FOUNDATION FOR SUICIDE
JUDITH MCINTOSH,UNITED WAY OF THE SOUTHERN TIER
LOU SOCHA,UNITED WAY OF THE SOUTHERN TIER
DANIEL SMITH,INDIANA UNIVERSITY RESEARCH & TECHNOLOGY
JAY HESS,INDIANA UNIVERSITY RESEARCH & TECHNOLOGY
SHAWNA PAPALE,WORKFORCE DEVELOPMENT BOARD OF HERKIMER
PETER CLOUGH,COMMUNITY ACTION PLANNING COUNCIL OF
JERRI HAIGLER,BELL FOUNDATION INC
JON S CRAIGHEAD,KEYSTONE COLLEGE
ANNE KAUFFMAN,STAGE DIRECTORS AND CHOREOGRAPHERS
